,No,인실,adj_월세,주소 ,건물타입,방개수,화장실 개수,난방방식,층,총층,승강기,주차,경도,위도,버스,스타벅스,경찰청,대학교,약국,지하철,편의점
0,1,1,34.01666667,서울특별시 용산구 한강대로76길 15-7,단독주택,4개,2개,개별난방(전체),1층,2층,없음,불가능,126.9739635,37.54203678,82,5,2,0,34,8,0
1,2,1,46.15,서울특별시 용산구 청파동3가 91-1번지,빌라,4개,1개,개별난방(전체),모름,모름,없음,가능,126.9695383,37.54222761,106,6,2,1,54,13,1
2,3,1,35.05833333,서울특별시 용산구 청파로45길 2-5,호텔/모텔,7개,7개,중앙난방,1층,2층,없음,불가능,126.9702217,37.5444199,112,7,2,1,47,8,0
3,4,1,45.16666667,서울특별시 용산구 두텁바위로1길 43,빌라,4개,2개,개별난방(전체),3층,5층,없음,가능,126.9744275,37.5463766,109,10,2,0,46,9,0
4,5,1,47.15666667,서울특별시 용산구 청파로53길 8,기타,5개,2개,알수없음,1층,2층,없음,불가능,126.9697391,37.54622719,120,9,2,1,52,8,1
5,6,1,57.21666667,서울특별시 용산구 청파로55길 8,빌라,4개,2개,개별난방(전체),모름,모름,알수없음,불가능,126.969733,37.54649198,119,9,2,1,52,8,0
6,7,1,41.16666667,서울특별시 용산구 갈월동 7-88번지,단독주택,8개,4개,중앙난방,2층,2층,없음,알수없음,126.972767,37.54834415,116,13,2,0,53,9,0
7,8,3,37.12333333,서울특별시 용산구 후암로16길 20,빌라,4개,3개,개별난방(전체),2층,4층,있음,불가능,126.9790767,37.54830806,102,17,3,0,47,7,1
8,9,3,35.11666667,서울특별시 용산구 후암로16길 20,빌라,5개,3개,개별난방(각방),3층,4층,있음,가능,126.9790767,37.54830806,102,17,3,0,47,7,1
9,10,1,49.16666667,서울특별시 용산구 백범로79길 81,단독주택,10개,4개,중앙난방,2층,4층,없음,알수없음,126.964566,37.54232696,135,5,1,1,58,7,1
10,11,4,30.16666667,서울특별시 용산구 효창원로70길 34,아파트,3개,2개,개별난방(각방),모름,모름,있음,가능,126.9642966,37.54172184,138,6,1,1,59,7,1
11,12,3,34.11333333,서울특별시 용산구 효창 원로72길 42,아파트,5개,2개,개별난방(각방),3층,7층,있음,불가능,126.9638112,37.54231786,133,5,1,1,57,7,0
12,13,3,34.11333333,서울특별시 용산구 효창원로72길 42,빌라,5개,2개,개별난방(전체),5층,7층,있음,불가능,126.9638112,37.54231786,133,5,1,1,57,7,1
13,14,1,54.20666667,서울특별시 용산구 후암동 301-11번지,빌라,4개,2개,개별난방(전체),모름,모름,있음,불가능,126.979898,37.5492641,102,19,2,1,51,6,0
14,15,1,42.14,서울특별시 용산구 후암로28라길 15-1,빌라,3개,3개,중앙난방,모름,모름,없음,알수없음,126.9799793,37.54996034,108,21,2,1,54,6,1
15,16,1,35.16666667,서울특별시 용산구 두텁바위로38길 41-10,빌라,3개,1개,개별난방(전체),1층,4층,없음,불가능,126.9840412,37.54650237,72,6,1,1,22,1,0
16,17,1,50.09166667,서울특별시 용산구 효창원로62길 6,빌라,3개,1개,개별난방(전체),5층,5층,알수없음,불가능,126.9619514,37.53954108,129,5,0,1,52,5,0
17,18,1,52.2,서울특별시 용산구 두텁바위로 125,빌라,6개,4개,개별난방(전체),모름,모름,없음,불가능,126.981405,37.54996895,95,16,2,1,47,2,1
18,19,3,33.11,서울특별시 용산구 후암동 358-158번지,빌라,4개,2개,개별난방(전체),1층,5층,없음,불가능,126.9829203,37.54871329,85,9,1,1,41,2,0
19,20,1,48.16,서울특별시 용산구 두텁바위로58길 42,빌라,4개,2개,개별난방(전체),1층,5층,없음,불가능,126.9829135,37.54864157,84,9,1,1,39,2,0
20,21,1,49.16333333,서울특별시 용산구 후암동 358-157번지,빌라,4개,2개,개별난방(전체),1층,5층,없음,불가능,126.9825771,37.54944481,84,11,1,1,45,2,1
21,22,2,38.12666667,서울특별시 용산구 두텁바위로58길 28,빌라,4개,2개,개별난방(전체),1층,5층,없음,불가능,126.9827144,37.54918484,83,11,1,1,44,2,0
22,23,1,48.16,서울특별시 용산구 회나무로26길 36,빌라,3개,1개,개별난방(전체),1층,2층,없음,불가능,126.9900437,37.53893907,79,4,1,0,12,2,1
23,24,1,52.2,서울특별시 용산구 회나무로13가길 3-22,빌라,11개,6개,개별난방(각방),3층,3층,알수없음,불가능,126.9901769,37.54109838,72,4,1,0,11,2,1
24,25,1,52.2,서울특별시 용산구 회나무로13가길 22,기타,7개,2개,개별난방(각방),3층,6층,있음,불가능,126.9907852,37.54079563,75,4,1,0,12,2,1
25,26,1,51.2,서울특별시 용산구 회나무로 49,빌라,4개,2개,개별난방(전체),모름,모름,없음,불가능,126.9920918,37.54007684,76,4,1,1,14,2,0
26,27,1,34.01666667,서울특별시 용산구 한강대로76길 15-7,단독주택,4개,2개,개별난방(전체),1층,2층,없음,불가능,126.9739635,37.54203678,82,5,2,0,34,8,1
27,28,1,46.15,서울특별시 용산구 청파동3가 91-1번지,빌라,4개,1개,개별난방(전체),모름,모름,없음,가능,126.9695383,37.54222761,106,6,2,1,54,13,0
28,29,1,35.05833333,서울특별시 용산구 청파로45길 2-5,호텔/모텔,7개,7개,중앙난방,1층,2층,없음,불가능,126.9702217,37.5444199,112,7,2,1,47,8,0
29,30,1,60.1,서울특별시 용산구 원효로 240,기타,17개,17개,개별난방(각방),모름,모름,없음,불가능,126.9680777,37.53918468,106,8,2,1,53,9,0
30,31,1,47.15666667,서울특별시 용산구 청파로53길 8,기타,5개,2개,알수없음,1층,2층,없음,불가능,126.9697391,37.54622719,120,9,2,1,52,8,0
31,32,1,57.21666667,서울특별시 용산구 청파로55길 8,빌라,4개,2개,개별난방(전체),모름,모름,알수없음,불가능,126.969733,37.54649198,119,9,2,1,52,8,1
32,33,1,41.16666667,서울특별시 용산구 갈월동 7-88번지,단독주택,8개,4개,중앙난방,2층,2층,없음,알수없음,126.972767,37.54834415,116,13,2,0,53,9,0
33,34,3,35.11666667,서울특별시 용산구 후암로16길 20,빌라,5개,3개,개별난방(각방),3층,4층,있음,가능,126.9790767,37.54830806,102,17,3,0,47,7,1
34,35,3,37.12333333,서울특별시 용산구 후암로16길 20,빌라,4개,3개,개별난방(전체),2층,4층,있음,불가능,126.9790767,37.54830806,102,17,3,0,47,7,0
35,36,1,49.16666667,서울특별시 용산구 백범로79길 81,단독주택,10개,4개,중앙난방,2층,4층,없음,알수없음,126.964566,37.54232696,135,5,1,1,58,7,0
36,37,4,30.16666667,서울특별시 용산구 효창원로70길 34,아파트,3개,2개,개별난방(각방),모름,모름,있음,가능,126.9642966,37.54172184,138,6,1,1,59,7,0
37,38,3,34.11333333,서울특별시 용산구 효창 원로72길 42,아파트,5개,2개,개별난방(각방),3층,7층,있음,불가능,126.9638112,37.54231786,133,5,1,1,57,7,1
38,39,3,34.11333333,서울특별시 용산구 효창원로72길 42,빌라,5개,2개,개별난방(전체),5층,7층,있음,불가능,126.9638112,37.54231786,133,5,1,1,57,7,0
39,40,1,54.20666667,서울특별시 용산구 후암동 301-11번지,빌라,4개,2개,개별난방(전체),모름,모름,있음,불가능,126.979898,37.5492641,102,19,2,1,51,6,0
40,41,1,50.09166667,서울특별시 용산구 효창원로62길 6,빌라,3개,1개,개별난방(전체),5층,5층,알수없음,불가능,126.9619514,37.53954108,129,5,0,1,52,5,0
41,42,1,52.2,서울특별시 용산구 두텁바위로 125,빌라,6개,4개,개별난방(전체),모름,모름,없음,불가능,126.981405,37.54996895,95,16,2,1,47,2,0
42,43,3,33.11,서울특별시 용산구 후암동 358-158번지,빌라,4개,2개,개별난방(전체),1층,5층,없음,불가능,126.9829203,37.54871329,85,9,1,1,41,2,0
43,44,1,48.16,서울특별시 용산구 두텁바위로58길 42,빌라,4개,2개,개별난방(전체),1층,5층,없음,불가능,126.9829135,37.54864157,84,9,1,1,39,2,0
44,45,1,49.16333333,서울특별시 용산구 후암동 358-157번지,빌라,4개,2개,개별난방(전체),1층,5층,없음,불가능,126.9825771,37.54944481,84,11,1,1,45,2,0
45,46,2,38.12666667,서울특별시 용산구 두텁바위로58길 28,빌라,4개,2개,개별난방(전체),1층,5층,없음,불가능,126.9827144,37.54918484,83,11,1,1,44,2,1
46,47,1,48.16,서울특별시 용산구 회나무로26길 36,빌라,3개,1개,개별난방(전체),1층,2층,없음,불가능,126.9900437,37.53893907,79,4,1,0,12,2,1
47,48,1,52.2,서울특별시 용산구 회나무로13가길 3-22,빌라,11개,6개,개별난방(각방),3층,3층,알수없음,불가능,126.9901769,37.54109838,72,4,1,0,11,2,1
48,49,1,52.2,서울특별시 용산구 회나무로13가길 22,기타,7개,2개,개별난방(각방),3층,6층,있음,불가능,126.9907852,37.54079563,75,4,1,0,12,2,0
49,50,1,51.2,서울특별시 용산구 회나무로 49,빌라,4개,2개,개별난방(전체),모름,모름,없음,불가능,126.9920918,37.54007684,76,4,1,1,14,2,0
50,51,1,34.01666667,서울특별시 용산구 한강대로76길 15-7,단독주택,4개,2개,개별난방(전체),1층,2층,없음,불가능,126.9739635,37.54203678,82,5,2,0,34,8,0
51,52,1,35.05833333,서울특별시 용산구 청파로45길 2-5,호텔/모텔,7개,7개,중앙난방,1층,2층,없음,불가능,126.9702217,37.5444199,112,7,2,1,47,8,0
52,53,1,47.15666667,서울특별시 용산구 청파로53길 8,기타,5개,2개,알수없음,1층,2층,없음,불가능,126.9697391,37.54622719,120,9,2,1,52,8,0
53,54,1,57.21666667,서울특별시 용산구 청파로55길 8,빌라,4개,2개,개별난방(전체),모름,모름,알수없음,불가능,126.969733,37.54649198,119,9,2,1,52,8,1
54,55,1,41.16666667,서울특별시 용산구 갈월동 7-88번지,단독주택,8개,4개,중앙난방,2층,2층,없음,알수없음,126.972767,37.54834415,116,13,2,0,53,9,0
55,56,3,37.12333333,서울특별시 용산구 후암로16길 20,빌라,4개,3개,개별난방(전체),2층,4층,있음,불가능,126.9790767,37.54830806,102,17,3,0,47,7,1
56,57,1,49.16666667,서울특별시 용산구 백범로79길 81,단독주택,10개,4개,중앙난방,2층,4층,없음,알수없음,126.964566,37.54232696,135,5,1,1,58,7,0
57,58,4,30.16666667,서울특별시 용산구 효창원로70길 34,아파트,3개,2개,개별난방(각방),모름,모름,있음,가능,126.9642966,37.54172184,138,6,1,1,59,7,0
58,59,3,34.11333333,서울특별시 용산구 효창원로72길 42,빌라,5개,2개,개별난방(전체),5층,7층,있음,불가능,126.9638112,37.54231786,133,5,1,1,57,7,0
59,60,1,54.20666667,서울특별시 용산구 후암동 301-11번지,빌라,4개,2개,개별난방(전체),모름,모름,있음,불가능,126.979898,37.5492641,102,19,2,1,51,6,0
60,61,1,50.09166667,서울특별시 용산구 효창원로62길 6,빌라,3개,1개,개별난방(전체),5층,5층,알수없음,불가능,126.9619514,37.53954108,129,5,0,1,52,5,0
61,62,1,52.2,서울특별시 용산구 두텁바위로 125,빌라,6개,4개,개별난방(전체),모름,모름,없음,불가능,126.981405,37.54996895,95,16,2,1,47,2,0
62,63,1,48.16,서울특별시 용산구 두텁바위로58길 42,빌라,4개,2개,개별난방(전체),1층,5층,없음,불가능,126.9829135,37.54864157,84,9,1,1,39,2,1
63,64,1,49.16333333,서울특별시 용산구 후암동 358-157번지,빌라,4개,2개,개별난방(전체),1층,5층,없음,불가능,126.9825771,37.54944481,84,11,1,1,45,2,0
64,65,1,48.16,서울특별시 용산구 회나무로26길 36,빌라,3개,1개,개별난방(전체),1층,2층,없음,불가능,126.9900437,37.53893907,79,4,1,0,12,2,1
65,66,1,52.2,서울특별시 용산구 회나무로13가길 3-22,빌라,11개,6개,개별난방(각방),3층,3층,알수없음,불가능,126.9901769,37.54109838,72,4,1,0,11,2,0
66,67,1,52.2,서울특별시 용산구 회나무로13가길 22,기타,7개,2개,개별난방(각방),3층,6층,있음,불가능,126.9907852,37.54079563,75,4,1,0,12,2,0
67,68,1,51.2,서울특별시 용산구 회나무로 49,빌라,4개,2개,개별난방(전체),모름,모름,없음,불가능,126.9920918,37.54007684,76,4,1,1,14,2,0
